venue_name,main_team_id,name_display_club,index_runs,index_hr,index_hits,index_bb,index_so,index_bacon,index_hardhit,year
PNC Park,134,Pirates,102,80,102,105,92,100,101,2023
Rogers Centre,141,Blue Jays,100,104,100,94,98,99,101,2023
Busch Stadium,138,Cardinals,98,90,101,97,90,97,100,2023
Angel Stadium,108,Angels,100,112,99,103,106,101,99,2023
Truist Park,144,Braves,102,111,101,99,108,103,105,2023
Comerica Park,116,Tigers,94,79,98,102,96,98,102,2023
Oriole Park at Camden Yards,110,Orioles,102,104,103,96,95,101,102,2023
T-Mobile Park,136,Mariners,85,98,91,96,110,94,95,2023
Citi Field,121,Mets,92,95,94,104,105,97,97,2023
Tropicana Field,139,Rays,92,94,94,95,111,98,96,2023
Globe Life Field,140,Rangers,104,111,102,101,97,100,100,2023
Wrigley Field,112,Cubs,102,106,101,103,102,102,99,2023
American Family Field,158,Brewers,94,109,93,109,110,97,96,2023
Great American Ball Park,113,Reds,114,131,103,108,103,105,99,2023
loanDepot park,146,Marlins,96,86,101,93,102,101,99,2023
Target Field,142,Twins,100,104,99,103,104,100,103,2023
Rate Field,145,White Sox,100,104,99,101,102,100,100,2023
Coors Field,115,Rockies,125,108,116,95,85,109,102,2023
Daikin Park,117,Astros,100,101,99,104,100,99,98,2023
Citizens Bank Park,143,Phillies,102,113,100,97,104,102,100,2023
Oakland Coliseum,133,Athletics,92,84,96,99,99,95,96,2023
Petco Park,135,Padres,90,93,94,106,103,95,101,2023
Kauffman Stadium,118,Royals,108,84,107,100,87,103,105,2023
Chase Field,109,D-backs,100,84,104,97,95,101,98,2023
Dodger Stadium,119,Dodgers,98,122,96,95,105,98,100,2023
Yankee Stadium,147,Yankees,96,116,93,108,107,96,99,2023
Oracle Park,137,Giants,94,84,100,94,101,100,104,2023
Fenway Park,111,Red Sox,117,99,111,99,95,109,104,2023
Progressive Field,114,Guardians,94,89,98,96,98,97,97,2023
Nationals Park,120,Nationals,106,107,104,97,89,101,101,2023
