Name,Current_Season,Next_Season,Current_Age,Target_Age,Current_PA,Target_PA,Current_HR,Target_HR,Current_ISO,Target_ISO,Current_FB%,Target_FB%,Current_HR/FB,Target_HR/FB,Current_Barrel%,Target_Barrel%,Current_HardHit%,Target_HardHit%,Current_EV,Target_EV,Current_Pull%,Target_Pull%
A.J. Pollock,2020,2021,32,32,210,210,16,16,0.291,0.291,0.3989999999999999,0.3989999999999999,0.262,0.262,0.105,0.105,0.431,0.431,89.6,89.6,0.4579999999999999,0.4579999999999999
A.J. Pollock,2021,2022,33,33,422,422,21,21,0.24,0.24,0.386,0.386,0.178,0.178,0.111,0.111,0.474,0.474,90.3,90.3,0.444,0.444
Aaron Hicks,2022,2023,32,32,453,453,8,8,0.096,0.096,0.3929999999999999,0.3929999999999999,0.074,0.074,0.0579999999999999,0.0579999999999999,0.331,0.331,87.9,87.9,0.475,0.475
Aaron Judge,2021,2022,29,29,633,633,39,39,0.256,0.256,0.355,0.355,0.2769999999999999,0.2769999999999999,0.176,0.176,0.579,0.579,95.8,95.8,0.363,0.363
Aaron Judge,2022,2023,30,30,696,696,62,62,0.375,0.375,0.435,0.435,0.356,0.356,0.262,0.262,0.611,0.611,95.8,95.8,0.475,0.475
Aaron Judge,2023,2024,31,31,458,458,37,37,0.346,0.346,0.5,0.5,0.308,0.308,0.275,0.275,0.642,0.642,97.6,97.6,0.45,0.45
Aaron Judge,2024,2025,32,32,704,704,58,58,0.379,0.379,0.462,0.462,0.322,0.322,0.2689999999999999,0.2689999999999999,0.611,0.611,96.2,96.2,0.4,0.4
Abraham Toro,2021,2022,24,24,375,375,11,11,0.134,0.134,0.435,0.435,0.089,0.089,0.074,0.074,0.3389999999999999,0.3389999999999999,86.8,86.8,0.3389999999999999,0.3389999999999999
Abraham Toro,2024,2025,27,27,364,364,6,6,0.11,0.11,0.364,0.364,0.06,0.06,0.043,0.043,0.296,0.296,87.2,87.2,0.408,0.408
Adam Duvall,2020,2021,31,31,209,209,16,16,0.295,0.295,0.54,0.54,0.216,0.216,0.139,0.139,0.401,0.401,88.1,88.1,0.445,0.445
Adam Duvall,2021,2022,32,32,555,555,38,38,0.263,0.263,0.529,0.529,0.21,0.21,0.161,0.161,0.439,0.439,89.8,89.8,0.474,0.474
Adam Duvall,2022,2023,33,33,315,315,12,12,0.188,0.188,0.521,0.521,0.122,0.122,0.128,0.128,0.41,0.41,88.3,88.3,0.495,0.495
Adam Duvall,2023,2024,34,34,353,353,21,21,0.284,0.284,0.5670000000000001,0.5670000000000001,0.172,0.172,0.13,0.13,0.391,0.391,88.8,88.8,0.586,0.586
Adam Frazier,2020,2021,28,28,230,230,7,7,0.134,0.134,0.351,0.351,0.115,0.115,0.04,0.04,0.251,0.251,85.5,85.5,0.349,0.349
Adam Frazier,2021,2022,29,29,639,639,5,5,0.106,0.106,0.296,0.296,0.033,0.033,0.01,0.01,0.252,0.252,85.4,85.4,0.371,0.371
Adam Frazier,2022,2023,30,30,602,602,3,3,0.072,0.072,0.348,0.348,0.018,0.018,0.015,0.015,0.245,0.245,85.1,85.1,0.366,0.366
Adam Frazier,2023,2024,31,31,455,455,13,13,0.155,0.155,0.368,0.368,0.102,0.102,0.031,0.031,0.2339999999999999,0.2339999999999999,85.7,85.7,0.391,0.391
Adam Frazier,2024,2025,32,32,294,294,4,4,0.092,0.092,0.363,0.363,0.055,0.055,0.0289999999999999,0.0289999999999999,0.228,0.228,84.5,84.5,0.4029999999999999,0.4029999999999999
Addison Barger,2024,2025,24,24,225,225,7,7,0.154,0.154,0.362,0.362,0.13,0.13,0.087,0.087,0.38,0.38,88.3,88.3,0.3829999999999999,0.3829999999999999
Adley Rutschman,2022,2023,24,24,470,470,13,13,0.191,0.191,0.384,0.384,0.107,0.107,0.079,0.079,0.368,0.368,87.9,87.9,0.4379999999999999,0.4379999999999999
Adley Rutschman,2023,2024,25,25,687,687,20,20,0.158,0.158,0.346,0.346,0.118,0.118,0.075,0.075,0.386,0.386,88.4,88.4,0.384,0.384
