Name,Current_Season,Next_Season,Current_Team,Next_Team,Current_Age,Target_Age,Current_PA,Target_PA,Current_wRC+,Target_wRC+,Current_wOBA,Target_wOBA,Current_BB%,Target_BB%,Current_K%,Target_K%,Current_ISO,Target_ISO,Current_AVG,Target_AVG,Current_BABIP,Target_BABIP,Current_Barrel%,Target_Barrel%,Current_HardHit%,Target_HardHit%,Current_Park_Factor,Next_Park_Factor
A.J. Pollock,2020,2021,LAD,LAD,32,33,210,422,130,137,0.364,0.375,0.057,0.071,0.214,0.19,0.291,0.24,0.276,0.297,0.277,0.326,0.105,0.111,0.431,0.474,100,100
A.J. Pollock,2021,2022,LAD,CHW,33,34,422,527,137,92,0.375,0.297,0.071,0.061,0.19,0.186,0.24,0.143,0.297,0.245,0.326,0.278,0.111,0.094,0.474,0.42,100,99
A.J. Pollock,2022,2023,CHW,MULTI,34,35,527,144,92,46,0.297,0.227,0.061,0.063,0.186,0.222,0.143,0.143,0.245,0.165,0.278,0.173,0.094,0.068,0.42,0.417,99,100
Aaron Hicks,2020,2021,NYY,NYY,30,31,211,126,124,77,0.351,0.279,0.1939999999999999,0.111,0.18,0.238,0.189,0.139,0.225,0.194,0.256,0.224,0.069,0.1,0.382,0.3879999999999999,100,100
Aaron Hicks,2021,2022,NYY,NYY,31,32,126,453,77,89,0.279,0.292,0.111,0.1369999999999999,0.238,0.241,0.139,0.096,0.194,0.216,0.224,0.279,0.1,0.0579999999999999,0.3879999999999999,0.331,100,100
Aaron Hicks,2022,2023,NYY,MULTI,32,33,453,312,89,109,0.292,0.326,0.1369999999999999,0.135,0.241,0.221,0.096,0.13,0.216,0.253,0.279,0.311,0.0579999999999999,0.04,0.331,0.294,100,100
Aaron Judge,2020,2021,NYY,NYY,28,29,114,633,140,150,0.375,0.387,0.088,0.118,0.281,0.25,0.297,0.256,0.257,0.287,0.283,0.332,0.114,0.176,0.414,0.579,100,100
Aaron Judge,2021,2022,NYY,NYY,29,30,633,696,150,206,0.387,0.458,0.118,0.159,0.25,0.251,0.256,0.375,0.287,0.311,0.332,0.34,0.176,0.262,0.579,0.611,100,100
Aaron Judge,2022,2023,NYY,NYY,30,31,696,458,206,173,0.458,0.42,0.159,0.192,0.251,0.284,0.375,0.346,0.311,0.267,0.34,0.3,0.262,0.275,0.611,0.642,100,100
Aaron Judge,2023,2024,NYY,NYY,31,32,458,704,173,220,0.42,0.476,0.192,0.1889999999999999,0.284,0.243,0.346,0.379,0.267,0.322,0.3,0.367,0.275,0.2689999999999999,0.642,0.611,100,100
Aaron Judge,2024,2025,NYY,NYY,32,33,704,679,220,204,0.476,0.463,0.1889999999999999,0.183,0.243,0.236,0.379,0.357,0.322,0.331,0.367,0.376,0.2689999999999999,0.247,0.611,0.5820000000000001,100,100
Abraham Toro,2021,2022,MULTI,SEA,24,25,375,352,94,63,0.303,0.246,0.083,0.063,0.144,0.185,0.134,0.139,0.239,0.185,0.254,0.198,0.074,0.068,0.3389999999999999,0.297,100,91
Abraham Toro,2024,2025,OAK,BOS,27,28,364,284,87,77,0.283,0.286,0.055,0.049,0.17,0.148,0.11,0.131,0.24,0.239,0.279,0.256,0.043,0.045,0.296,0.342,97,107
Adalberto Mondesi,2020,2021,KCR,KCR,24,25,233,136,88,89,0.305,0.306,0.047,0.044,0.3,0.316,0.16,0.222,0.256,0.23,0.35,0.299,0.073,0.128,0.391,0.442,104,104
Adam Duvall,2020,2021,ATL,MULTI,31,32,209,555,115,101,0.348,0.324,0.072,0.063,0.258,0.314,0.295,0.263,0.237,0.228,0.24,0.26,0.139,0.161,0.401,0.439,100,100
Adam Duvall,2021,2022,MULTI,ATL,32,33,555,315,101,88,0.324,0.295,0.063,0.067,0.314,0.321,0.263,0.188,0.228,0.213,0.26,0.278,0.161,0.128,0.439,0.41,100,100
Adam Duvall,2022,2023,ATL,BOS,33,34,315,353,88,117,0.295,0.347,0.067,0.062,0.321,0.312,0.188,0.284,0.213,0.247,0.278,0.299,0.128,0.13,0.41,0.391,100,107
Adam Duvall,2023,2024,BOS,ATL,34,35,353,330,117,59,0.347,0.252,0.062,0.064,0.312,0.3,0.284,0.142,0.247,0.182,0.299,0.227,0.13,0.107,0.391,0.366,107,100
Adam Eaton,2020,2021,WSN,MULTI,31,32,176,288,76,68,0.287,0.271,0.068,0.076,0.182,0.247,0.157,0.126,0.226,0.201,0.26,0.253,0.046,0.043,0.382,0.34,101,100
Adam Engel,2021,2022,CHW,CHW,29,30,140,260,125,63,0.354,0.256,0.079,0.042,0.221,0.292,0.244,0.086,0.252,0.224,0.279,0.317,0.086,0.018,0.366,0.331,99,99
Adam Frazier,2020,2021,PIT,MULTI,28,29,230,639,79,113,0.291,0.341,0.074,0.075,0.152,0.108,0.134,0.106,0.23,0.305,0.246,0.339,0.04,0.01,0.251,0.252,101,100
Adam Frazier,2021,2022,MULTI,SEA,29,30,639,602,113,82,0.341,0.274,0.075,0.076,0.108,0.121,0.106,0.072,0.305,0.238,0.339,0.268,0.01,0.015,0.252,0.245,100,91
Adam Frazier,2022,2023,SEA,BAL,30,31,602,455,82,92,0.274,0.302,0.076,0.07,0.121,0.149,0.072,0.155,0.238,0.24,0.268,0.258,0.015,0.031,0.245,0.2339999999999999,91,99
Adam Frazier,2023,2024,BAL,KCR,31,32,455,294,92,65,0.302,0.261,0.07,0.075,0.149,0.201,0.155,0.092,0.24,0.202,0.258,0.246,0.031,0.0289999999999999,0.2339999999999999,0.228,99,104
Adam Frazier,2024,2025,KCR,MULTI,32,33,294,459,65,89,0.261,0.3,0.075,0.057,0.201,0.176,0.092,0.098,0.202,0.267,0.246,0.313,0.0289999999999999,0.02,0.228,0.206,104,100
Addison Barger,2024,2025,TOR,TOR,24,25,225,502,69,107,0.262,0.322,0.062,0.072,0.267,0.241,0.154,0.211,0.197,0.243,0.239,0.284,0.087,0.114,0.38,0.509,100,100
Adley Rutschman,2022,2023,BAL,BAL,24,25,470,687,134,126,0.354,0.352,0.138,0.134,0.183,0.147,0.191,0.158,0.254,0.277,0.291,0.303,0.079,0.075,0.368,0.386,99,99
Adley Rutschman,2023,2024,BAL,BAL,25,26,687,638,126,103,0.352,0.309,0.134,0.091,0.147,0.161,0.158,0.14,0.277,0.25,0.303,0.272,0.075,0.061,0.386,0.366,99,99
Adley Rutschman,2024,2025,BAL,BAL,26,27,638,365,103,91,0.309,0.298,0.091,0.11,0.161,0.156,0.14,0.146,0.25,0.22,0.272,0.24,0.061,0.075,0.366,0.386,99,99
Adolis Garcia,2021,2022,TEX,TEX,28,29,622,657,99,112,0.314,0.324,0.051,0.061,0.312,0.2789999999999999,0.212,0.207,0.243,0.25,0.306,0.309,0.115,0.129,0.455,0.474,101,101
Adolis Garcia,2022,2023,TEX,TEX,29,30,657,632,112,128,0.324,0.354,0.061,0.103,0.2789999999999999,0.2769999999999999,0.207,0.263,0.25,0.245,0.309,0.28,0.129,0.161,0.474,0.497,101,101
Adolis Garcia,2023,2024,TEX,TEX,30,31,632,637,128,94,0.354,0.296,0.103,0.071,0.2769999999999999,0.278,0.263,0.176,0.245,0.224,0.28,0.273,0.161,0.122,0.497,0.479,101,101
Adolis Garcia,2024,2025,TEX,TEX,31,32,637,547,94,83,0.296,0.286,0.071,0.051,0.278,0.247,0.176,0.168,0.224,0.227,0.273,0.267,0.122,0.1159999999999999,0.479,0.467,101,101
Akil Baddoo,2021,2022,DET,DET,22,23,461,225,108,65,0.329,0.256,0.098,0.107,0.265,0.284,0.177,0.065,0.259,0.204,0.335,0.289,0.088,0.036,0.3229999999999999,0.27,98,98
Akil Baddoo,2022,2023,DET,DET,23,24,225,357,65,88,0.256,0.299,0.107,0.118,0.284,0.249,0.065,0.154,0.204,0.218,0.289,0.268,0.036,0.062,0.27,0.363,98,98
Alan Trejo,2022,2023,COL,COL,26,27,125,227,94,58,0.321,0.277,0.04,0.07,0.248,0.225,0.153,0.111,0.271,0.232,0.337,0.286,0.046,0.044,0.31,0.226,112,112
