venue_name,main_team_id,name_display_club,index_runs,index_hr,index_hits,index_bb,index_so,index_bacon,index_hardhit,year
Globe Life Field,140,Rangers,94,104,97,100,101,96,102,2025
Rate Field,145,White Sox,98,96,98,103,100,99,97,2025
Citizens Bank Park,143,Phillies,102,114,100,96,104,101,100,2025
Oriole Park at Camden Yards,110,Orioles,100,105,103,91,99,101,105,2025
Kauffman Stadium,118,Royals,102,85,104,100,89,99,103,2025
Petco Park,135,Padres,94,102,96,103,102,97,98,2025
PNC Park,134,Pirates,98,76,101,100,96,100,102,2025
Wrigley Field,112,Cubs,94,99,96,100,103,97,100,2025
Fenway Park,111,Red Sox,108,89,107,97,97,106,101,2025
Comerica Park,116,Tigers,100,99,100,100,98,100,99,2025
Chase Field,109,D-backs,106,88,105,99,94,102,102,2025
Angel Stadium,108,Angels,102,113,98,103,105,101,99,2025
T-Mobile Park,136,Mariners,83,93,89,97,117,94,98,2025
Truist Park,144,Braves,102,104,102,99,106,103,103,2025
Progressive Field,114,Guardians,94,85,97,100,102,98,96,2025
Dodger Stadium,119,Dodgers,102,127,97,101,100,98,101,2025
loanDepot park,146,Marlins,102,90,103,97,98,102,100,2025
Oracle Park,137,Giants,94,82,101,90,98,99,99,2025
Nationals Park,120,Nationals,102,94,104,94,90,100,101,2025
Rogers Centre,141,Blue Jays,100,104,99,100,98,98,100,2025
Great American Ball Park,113,Reds,106,123,100,103,102,101,94,2025
Target Field,142,Twins,104,102,102,100,103,104,101,2025
Coors Field,115,Rockies,128,106,117,101,90,113,101,2025
Daikin Park,117,Astros,100,105,100,100,102,100,98,2025
American Family Field,158,Brewers,94,106,94,106,109,98,96,2025
Yankee Stadium,147,Yankees,100,119,94,112,102,97,104,2025
Citi Field,121,Mets,96,104,94,110,103,96,101,2025
Busch Stadium,138,Cardinals,100,87,103,96,91,99,102,2025
